Learned weight vectors and counts:
w: [0. 0. 0. 0.], count: 1
w: [-2.64587865 -2.5680345  -1.7750055  -0.61221686], count: 5
w: [-2.57181165 -2.3950445  -2.0946355  -0.62678686], count: 8
w: [-2.62376165 -2.0687145  -2.4035855  -0.52829686], count: 33
w: [-3.14037165 -1.2643845  -2.399159   -0.97812686], count: 27
w: [-3.22185065 -1.8381945  -1.959969   -0.94601686], count: 6
w: [-3.01875065 -1.6529945  -2.261179   -0.94571656], count: 26
w: [-3.09621165 -1.8406745  -2.020949   -0.83252656], count: 39
w: [-2.96103165 -1.7347245  -2.255319   -0.79252856], count: 1
w: [-3.15512165 -2.6032045  -1.339819   -0.69847956], count: 15
w: [-3.16434105 -2.5638895  -1.372665   -0.71227356], count: 3
w: [-3.11697305 -2.2278395  -1.823305   -1.11658356], count: 34
w: [-3.09554205 -2.2973685  -1.735594   -1.08693056], count: 59
w: [-2.93650205 -2.0761585  -2.047424   -1.09865556], count: 2
w: [-3.05317205 -2.2185285  -1.755014   -1.03253656], count: 1
w: [-3.02877805 -2.0711985  -1.896934   -1.09107156], count: 6
w: [-2.97283905 -2.1022385  -1.878627   -1.04641856], count: 47
w: [-2.77106905 -1.9224185  -2.174437   -1.02542856], count: 22
w: [-2.93135905 -1.9613215  -2.012437   -0.83439856], count: 11
w: [-2.89701905 -1.9489065  -2.04117    -0.81974456], count: 15
w: [-2.79064905 -1.5793365  -2.45711    -1.01353456], count: 9
w: [-3.12646905 -2.3033765  -1.31292    -1.07064756], count: 5
w: [-2.94771905 -1.8253765  -1.82654    -1.39426756], count: 14
w: [-2.91008205 -1.9077345  -1.747997   -1.31974356], count: 15
w: [-2.76112205 -1.5648545  -2.151087   -1.46233356], count: 4
w: [-3.11172205 -2.8215245  -0.635027   -1.53754956], count: 4
w: [-3.54570205 -2.2911645  -1.023057   -1.46711756], count: 3
w: [-3.68208205 -1.8135745  -1.864877   -1.27875756], count: 1
w: [-3.63028205 -1.7877095  -1.948962   -1.18263956], count: 43
w: [-3.36549205 -2.8014495  -1.815862   -0.63556956], count: 16
w: [-3.34938405 -2.1552095  -2.651592   -0.48340956], count: 1
w: [-3.20437405 -1.7945395  -3.057162   -0.64306956], count: 7
w: [-3.42777405 -2.4976795  -2.307802   -0.58173556], count: 77
w: [-3.42475215 -2.6027995  -2.167562   -0.50436656], count: 8
w: [-3.35657215 -2.1177595  -2.688892   -1.11479656], count: 7
w: [-3.82988215 -2.7356495  -1.550092   -1.22220656], count: 5
